"securities","companies__t","companies__exch","companies__c","companies__securities__001","companies__securities__002","companies__sc","companies__rv","companies__mc","companies__en","companies__cc","companies__ec","companies__cpr","companies__dt","companies__fy","updateTime"
"riy","AFL","UN","Aflac Inc","riy","spx","14","21758","38726790207.6","11390","17535398","52756","332","2019-03-22","2018","Tue Dec 24 2019 13:32:32 GMT-0500 (Eastern Standard Time)"
"spx","ACC","UN","American Campus Communities Inc","riy","","14","880.81","6327488829.6","3098","4672998","27080","173","2019-03-20","2018",""
"","AEE","UN","Ameren Corp","riy","spx","19","6291","18636756744","8838","8454460","119718","71","2019-03-19","2018",""
"","ABC","UN","AmerisourceBergen Corp","riy","spx","15","179589.121","17589873128.120003","21000","11533906","56892","203","2019-01-18","2018",""
"","AAP","UN","Advance Auto Parts Inc","riy","spx","11","9580.554","11120981215.72","40000","8856135","18460","480","2019-04-26","2018",""
"","AIG","UN","American International Group Inc","riy","spx","14","47389","44315334809.63999","49600","20854669","66440","314","2019-04-02","2018",""
"","ALNY","UW","Alnylam Pharmaceuticals Inc","riy","","15","74.908","13121227971.36","1065","5089269","243720","21","2019-03-11","2018",""
"","AJG","UN","Arthur J Gallagher & Co","riy","spx","14","6934","17637614880","30400","8062954","64495","125","2019-03-22","2018",""
"","ACGL","UW","Arch Capital Group Ltd","riy","","14","5450.568","17026995885.619999","3642","12467406","126070","99","2019-03-28","2018",""
"","AGIO","UW","Agios Pharmaceuticals Inc","riy","","15","94.387","3433983543.9299994","382","8199324","345181","24","2019-04-18","2018",""
"","ADSK","UW","Autodesk Inc","riy","spx","18","2569.8","40466269397.82001","9600","12345706","115892","106.5","2018-05-01","2018",""
"","AGCO","UN","AGCO Corp","riy","","16","9352","5846939640.22","21200","20648619","48387","427","2019-03-25","2018",""
"","AES","UN","AES Corp/VA","riy","spx","19","10736","13118518882.560001","null","9759811","67771","144","2019-03-06","2018",""
"","ALL","UN","Allstate Corp/The","riy","spx","14","39815","36014201415.72","45140","18687246","72363","258","2019-04-08","2018",""
"","ADP","UW","Automatic Data Processing Inc","riy","spx","18","14175.2","73519732301.98999","58000","12489040","59284","211","2018-09-20","2018",""
"","ALLE","UN","Allegion PLC","riy","spx","16","2731.7","11509573667.850002","11000","7586780","45460","167","2019-04-18","2018",""
"","AAPL","UW","Apple Inc","riy","spx","18","260174","1263086941550","137000","15682219","55426","283","2019-01-08","2018",""
"","ADT","UN","ADT Inc","riy","","16","4581.673","5777019211.319999","19000","null","null","null","2019-04-29","2018",""
"","ALSN","UN","Allison Transmission Holdings Inc","riy","","16","2713","5789880328.88","2900","16946722","99977","170","2019-03-29","2018",""
"","AGNC","UW","AGNC Investment Corp","riy","","14","1402","9666203820.11","56","14645850","210163","69.7","2019-03-07","2018",""
"","ACN","UN","Accenture PLC","riy","spx","18","43215.013","134584629957.26001","492000","22299174","40206","555","2018-12-07","2018",""
"","ALGN","UW","Align Technology Inc","riy","spx","15","1966.492","21901332898.619995","11660","41758338","13180","3168","2019-04-05","2018",""
"","AFG","UN","American Financial Group Inc/OH","riy","","14","7150","9836421968.52","6700","10209385","65880","155","2019-04-05","2018",""
"","AL","UN","Air Lease Corp","riy","","14","1679.702","5450382317.639999","97","7672190","189642","41","2019-03-22","2018",""
"","ADNT","UN","Adient PLC","riy","","11","16526","1973524651.1200001","83000","14738869","18861","782","2019-01-25","2018",""
"","ACA","UN","Arcosa Inc","riy","","16","1460.4","2189655373.5","5889","null","null","null","2019-03-26","2018",""
"","AIV","UN","Apartment Investment & Management Co","riy","spx","14","972.41","7557386661.36","1050","6773403","68933","98","2019-03-01","2018",""
"","ALLY","UN","Ally Financial Inc","riy","","14","10466","11664317456.55","8200","9607777","109452","88","2019-03-22","2018",""
"","AGR","UN","Avangrid Inc","riy","","19","6478","15648026974.08","6449","5709436","110413","52","2019-04-29","2018",""
"","AAL","UW","American Airlines Group Inc","riy","spx","11","44541","12782531593.78","128900","11999517","61527","195","2019-04-29","2018",""
"","A","UN","Agilent Technologies Inc","riy","spx","15","5163","26458645299.5","16300","11708230","68579","170","2019-02-07","2018",""
"","AGN","UN","Allergan PLC","riy","spx","15","15787.4","62838847657.119995","16900","6624473","89976","74","2019-03-22","2018",""
"","ABT","UN","Abbott Laboratories","riy","spx","15","30578","154350813932.40002","103000","24265658","80569","301","2019-03-15","2018",""
"","ADI","UW","Analog Devices Inc","riy","spx","18","5991.065","44093159616.68","16400","11007691","53821","205","2019-01-25","2018",""
"","ABMD","UW","ABIOMED Inc","riy","spx","15","769.432","7780225108.4","1371","10304726","122674","84","2018-06-22","2018",""
"","ADS","UN","Alliance Data Systems Corp","riy","spx","14","7791.2","5111778081.96","20000","9978474","62680","159","2019-04-18","2018",""
"","AGO","UN","Assured Guaranty Ltd","riy","","14","1002","4690374093.240001","312","12771902","250144","51.1","2019-03-27","2018",""
"","AIZ","UN","Assurant Inc","riy","spx","14","8057.6","7823841402.96","14750","13616946","41399","328.9","2019-03-25","2018",""
"","ADBE","UW","Adobe Inc","riy","spx","18","11171.297","159571672670.75998","22634","28397528","142192","200","2019-03-01","2018",""
"","ACHC","UW","Acadia Healthcare Co Inc","riy","","15","3012.442","2912168020.56","28600","1250000","27199","46","2019-03-21","2018",""
"","AEP","UN","American Electric Power Co Inc","riy","spx","19","16195.7","46352438038.08001","17582","12202028","110125","111","2019-02-26","2018",""
"","ACM","UN","AECOM","riy","","16","20173.329","6800261338.26","86000","15666319","78516","200","2019-01-23","2018",""
"","ALK","UN","Alaska Air Group Inc","riy","spx","11","8264","8510052002.34","21641","4388007","54584","80.4","2019-03-29","2018",""
"","ALXN","UW","Alexion Pharmaceuticals Inc","riy","spx","15","4131.2","24403937403.480003","2656","16490250","223882","74","2019-03-26","2018",""
"","ADM","UN","Archer-Daniels-Midland Co","riy","spx","12","64341","25652105395.2","31600","19657304","51087","385","2019-03-22","2018",""
"","AKAM","UW","Akamai Technologies Inc","riy","spx","18","2714.474","13854071733.300001","7519","11347676","110359","103","2019-04-02","2018",""
"","ABBV","UN","AbbVie Inc","riy","spx","15","32753","132872076643.64998","30000","21271869","148823","143","2019-03-08","2018",""
"","ALB","UN","Albemarle Corp","riy","spx","17","3374.95","7668308946.559999","5900","6581558","78867","83","2019-03-26","2018",""
"","ALKS","UW","Alkermes PLC","riy","","15","1094.274","3356799083.5699997","2300","17078354","146775","116","2019-04-05","2018",""
"","AA","UN","Alcoa Corp","riy","","17","13403","4004663548.8599997","14000","13196569","84202","157","2019-03-19","2018",""
"","AMT","UN","American Tower Corp","riy","spx","14","7440.1","100582913979.8","5026","14307936","50695","282","2019-04-10","2018",""
"","ASH","UN","Ashland Global Holdings Inc","riy","","17","2493","4610454854.450001","4700","9144029","60712","151","2018-12-06","2018",""
"","APLE","UN","Apple Hospitality REIT Inc","riy","","14","1270.555","3592892459.4","62","3081399","145741","21.1","2019-04-03","2018",""
"","AWI","UN","Armstrong World Industries Inc","riy","","11","975.3","4593240844.5","4000","4730319","80607","59","2019-04-30","2018",""
"","APTV","UN","Aptiv PLC","riy","spx","11","14435","24224286290.76","143000","14123103","5414","2609","2019-03-11","2018",""
"","AYI","UN","Acuity Brands Inc","riy","","16","3672.7","5410535807.05","12000","2456355","8052","305","2018-11-19","2018",""
"","APY","UN","Apergy Corp","riy","","13","1216.646","2628212574.78","3300","null","null","null","2019-03-25","2018",""
"","APC","UN","Anadarko Petroleum Corp","riy","spx","13","12837","null","4700","15516305","183455","84.6","2019-03-29","2018",""
"","AXP","UN","American Express Co","riy","spx","14","43281","102071101837.31999","59000","17353942","56756","306","2019-03-15","2018",""
"","ANTM","UN","Anthem Inc","riy","spx","15","92105","77210145736.5","63900","14184276","72308","196","2019-03-14","2018",""
"","AZO","UN","AutoZone Inc","riy","spx","11","11863.743","28766828449.41","96000","4220619","23546","179","2018-10-26","2018",""
"","AVT","UW","Avnet Inc","riy","","18","19518.592","4294934455.3199997","15500","7164491","52638","136","2018-10-04","2018",""
"","ATO","UN","Atmos Energy Corp","riy","spx","19","2901.848","13519432951.68","4776","10964985","80965","135","2018-12-21","2018",""
"","AMCX","UW","AMC Networks Inc","riy","","10","2971.929","2191771226.7000003","2234","20515390","70103","293","2019-04-29","2018",""
"","AVY","UN","Avery Dennison Corp","riy","spx","17","7159","11124255538.68","30000","8709697","12523","696","2019-03-08","2018",""
"","AZPN","UW","Aspen Technology Inc","riy","","18","598.345","8360258604.81","1600","6325453","93975","67","2018-10-26","2018",""
"","ASB","UN","Associated Banc-Corp","riy","","14","1509.704","3527829931.6800003","4699","5172842","53818","96","2019-03-15","2018",""
"","APA","UN","Apache Corp","riy","spx","13","7298","9840869630.79","3420","15201447","158214","96","2019-04-09","2018",""
"","AWK","UN","American Water Works Co Inc","riy","spx","19","3440","21985997673.780003","7100","4983114","83599","60","2019-03-26","2018",""
"","ATR","UN","AptarGroup Inc","riy","","17","2764.761","7334353773.67","14100","8039185","40206","200","2019-03-22","2018",""
"","ARD","UN","Ardagh Group SA","riy","","17","9097","4700978745.839999","23427","null","null","null","null","2018",""
"","ARW","UN","Arrow Electronics Inc","riy","","18","29676.768","6879149262.759999","20100","15339932","54614","281","2019-03-27","2018",""
"","AMGN","UW","Amgen Inc","riy","spx","15","23747","143988497490.53003","21500","18555266","131375","141","2019-04-08","2018",""
"","AMAT","UW","Applied Materials Inc","riy","spx","18","14608","56291202027","22000","14064540","113999","123","2019-01-24","2018",""
"","AR","UN","Antero Resources Corp","riy","","13","4360.709","873256174.28","623","9143022","92772","99","2019-04-24","2018",""
"","ANSS","UW","ANSYS Inc","riy","spx","18","1293.636","21952909334.72","1700","10164184","142631","71","2019-04-05","2018",""
"","ARMK","UN","Aramark","riy","","11","16227.341","10895150229.6","283500","15958908","16081","992","2018-12-21","2018",""
"","AMP","UN","Ameriprise Financial Inc","riy","spx","14","12924","21249383348.48","14000","25742524","94570","272","2019-03-15","2018",""
"","AXTA","UN","Axalta Coating Systems Ltd","riy","","17","4696","7114598915.2","14000","4624393","65530","71","2019-03-21","2018",""
"","ARNC","UN","Arconic Inc","riy","spx","16","null","13555384682.529999","null","17724625","50232","353","2019-03-27","2018",""
"","ANAT","UW","American National Insurance Co","riy","","14","3326.382","3178335912","4640","4110207","57705","71","2019-04-03","2018",""
"","AVB","UN","AvalonBay Communities Inc","riy","spx","14","2284.535","29041273652.300003","3087","10079434","61642","163.5","2019-03-27","2018",""
"","ARE","UN","Alexandria Real Estate Equities Inc","riy","spx","14","1327.459","18435630912.4","386","11806797","140000","84","2019-04-09","2018",""
"","APH","UN","Amphenol Corp","riy","spx","16","8202","31792805741.61","73600","10110360","13197","766","2019-04-17","2018",""
"","AMG","UN","Affiliated Managers Group Inc","riy","spx","14","2378.4","4185669907.0499997","4450","7538535","146010","52","2019-04-17","2018",""
"","AMH","UN","American Homes 4 Rent","riy","","14","1072.855","7770374152.160001","1234","473000","45679","10.35","2019-03-29","2018",""
"","ATH","UN","Athene Holding Ltd","riy","","14","6543","8246125471.040001","1275","4275309","82137","52","2019-04-12","2018",""
"","ATVI","UW","Activision Blizzard Inc","riy","spx","18","7500","45181374716.700005","9900","30841004","96726","319","2019-04-23","2018",""
"","APD","UN","Air Products & Chemicals Inc","riy","spx","17","8918.9","51825316097.4","17700","13941507","50802","274","2018-12-12","2018",""
"","AN","UN","AutoNation Inc","riy","","11","21412.8","4358916886.799999","26000","12472579","56259","222","2019-03-06","2018",""
"","AMD","UW","Advanced Micro Devices Inc","riy","spx","18","6475","51828225153.12","10100","13356392","80931","165","2019-03-21","2018",""
"","AME","UN","AMETEK Inc","riy","spx","16","4845.872","22792995267.12","18200","8762155","81314","108","2019-02-27","2018",""
"","AOS","UN","AO Smith Corp","riy","spx","16","3187.9","7747818479.999999","16300","3872974","19316.81","200","2019-02-28","2018",""
"","AVGO","UW","Broadcom Inc","riy","spx","18","22597","127492428624.5","19000","5042937","202915","25","2019-02-19","2018",""
"","BA","UN","Boeing Co/The","riy","spx","16","101127","187409480589","153000","23392187","126991","184","2019-03-15","2018",""
